Name,Category,URL,Authentication,Maintainer
Asana,Project Management,https://mcp.asana.com/sse,OAuth2.1,https://asana.com
Audioscrape,RAG-as-a-Service,https://mcp.audioscrape.com,OAuth2.1,https://www.audioscrape.com
Atlasian,Software Development,https://mcp.atlassian.com/v1/sse,OAuth2.1 🔐,https://atlassian.com
Box,Document Management,https://mcp.box.com,OAuth2.1 🔐,https://box.com
Buildkite,Software Development,https://mcp.buildkite.com/mcp,OAuth2.1,https://buildkite.com
Canva,Design,https://mcp.canva.com/mcp,OAuth2.1,https://canva.com
Carbon Voice,Productivity,https://mcp.carbonvoice.app,OAuth2.1,https://getcarbon.app
Cloudflare Workers,Software Development,https://bindings.mcp.cloudflare.com/sse,OAuth2.1,https://cloudflare.com
Cloudflare Observability,Observability,https://observability.mcp.cloudflare.com/sse,OAuth2.1,https://cloudflare.com
Cloudinary,Asset Management,https://asset-management.mcp.cloudinary.com/sse,OAuth2.1,https://cloudinary.com
Dialer,Outbound Phone Calls,https://getdialer.app/sse,OAuth2.1,https://getdialer.app
Egnyte,Document Management,https://mcp-server.egnyte.com/sse,OAuth2.1,https://egnyte.com
Firefly,Productivity,https://api.fireflies.ai/mcp,OAuth2.1,https://fireflies.ai
Find-A-Domain,Productivity,https://api.findadomain.dev/mcp,Open,https://findadomain.dev
GitHub,Software Development,https://api.githubcopilot.com/mcp,OAuth2.1 🔐,https://github.com
Globalping,Software Development,https://mcp.globalping.dev/sse,OAuth2.1,https://globalping.io/
Grafbase,Software Development,https://api.grafbase.com/mcp,OAuth 2.1,https://grafbase.com
Hive Intelligence,Crypto,https://hiveintelligence.xyz/mcp,OAuth 2.1,https://hiveintelligence.xyz/
Instant,Software Development,https://mcp.instantdb.com/mcp,OAuth,https://www.instantdb.com/
Intercom,Customer Support,https://mcp.intercom.com/sse,OAuth2.1,https://intercom.com
Invidio,Video Platform,https://mcp.invideo.io/sse,OAuth2.1,https://invideo.io/
Jam,Software Development,https://mcp.jam.dev/mcp,OAuth2.1,https://jam.dev/
Kollektiv,Documentation,https://mcp.thekollektiv.ai/sse,Oauth2.1,https://github.com/alexander-zuev/kollektiv-mcp
Linear,Project Management,https://mcp.linear.app/sse,OAuth2.1,https://linear.app
